numero_de_etiqueta,local,denominacao_de_imobiliario,data_de_chegada
1223896,LABORATORIO DE FISICA,ARMARIO ALTO POST FORM CINZA C/2 PORTAS/MODILAC,11/02/2017
1184689,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184690,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184691,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184692,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184693,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184694,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184695,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184696,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184697,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184698,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184699,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184700,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184701,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184702,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184703,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184704,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184705,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184706,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184707,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184708,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184709,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184710,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184711,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184712,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184713,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184714,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184715,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184716,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184717,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184718,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184719,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184720,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184721,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184722,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184723,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184724,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184725,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184726,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184727,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1184728,LABORATORIO DE FISICA,BANQUETA LARANJA P/LABORATORIO-MAQMOVEIS,08/10/2014
1206259,LABORATORIO DE FISICA,CADEIRA GIRATORIA P/STAFF TECIDO PRETO - WRP,09/04/2015
1206261,LABORATORIO DE FISICA,CADEIRA GIRATORIA P/STAFF TECIDO PRETO - WRP,09/04/2015
1145222,LABORATORIO DE FISICA,CADEIRA P/ STAFF GIRATORIA VINIL PRETO-SCARPARO,26/02/2014
1230373,LABORATORIO DE FISICA,CADEIRA P/STAFF (C1) VINIL PRETO/ CEQUIPEL,08/03/2017
1230374,LABORATORIO DE FISICA,CADEIRA P/STAFF (C1) VINIL PRETO/ CEQUIPEL,08/03/2017
1230375,LABORATORIO DE FISICA,CADEIRA P/STAFF (C1) VINIL PRETO/ CEQUIPEL,08/03/2017
1227320,LABORATORIO DE FISICA,MICROCOMPUTADOR ADMINISTRATIVO BASICO - DELL,17/02/2017
1227365,LABORATORIO DE FISICA,"MONITOR DE VIDEO 21,5 POLEGADAS - DELL",28/02/2017
1448736,LABORATORIO DE FISICA,PROJETOR MULTIMIDIA P/SALAS,31/05/2022
1220777,LABORATORIO DE FISICA,QUADRO BRANCO MAGNETICO 2000X1200MM/SOUZA,18/01/2017
1220778,LABORATORIO DE FISICA,QUADRO BRANCO MAGNETICO 2000X1200MM/SOUZA,18/01/2017
